URL,Route source,HTTP status,Canonical URL,Page type,Public or private,Indexable or noindex,Included in sitemap,Publisher content present,Content quality,Author identified,Reviewer identified,Source citations present,AdSense eligible after approval,Policy risk,Technical risk,Recommended action,Final action completed
https://www.thedivinegarbhsanskar.com/,App.jsx,200,https://www.thedivinegarbhsanskar.com/,Home,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/about,About.jsx,200,https://www.thedivinegarbhsanskar.com/about,About,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/courses,Courses.jsx,200,https://www.thedivinegarbhsanskar.com/courses,Courses,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/simantonayan,Simantonayan.jsx,200,https://www.thedivinegarbhsanskar.com/simantonayan,Service/Ritual,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog,Blog.jsx,200,https://www.thedivinegarbhsanskar.com/blog,Blog Listing,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/first-trimester-diet-guide,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/first-trimester-diet-guide,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/music-and-ragas-during-pregnancy,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/music-and-ragas-during-pregnancy,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Sanitize meta text and index,Completed
https://www.thedivinegarbhsanskar.com/blog/safe-prenatal-yoga-for-normal-delivery,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/safe-prenatal-yoga-for-normal-delivery,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Sanitize meta text and index,Completed
https://www.thedivinegarbhsanskar.com/blog/garbh-sanskar-benefits-for-mother-and-baby,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/garbh-sanskar-benefits-for-mother-and-baby,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/what-to-eat-during-pregnancy-indian-diet-chart,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/what-to-eat-during-pregnancy-indian-diet-chart,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/simantonayan-ceremony-meaning-and-guidance,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/simantonayan-ceremony-meaning-and-guidance,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/pregnancy-meditation-and-mantra-benefits,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/pregnancy-meditation-and-mantra-benefits,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Sanitize meta text and index,Completed
https://www.thedivinegarbhsanskar.com/blog/pregnancy-stress-management-tips,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/pregnancy-stress-management-tips,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Sanitize meta text and index,Completed
https://www.thedivinegarbhsanskar.com/blog/best-books-and-stories-to-read-during-pregnancy,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/best-books-and-stories-to-read-during-pregnancy,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/morning-routine-for-pregnant-women,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/morning-routine-for-pregnant-women,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/pregnancy-yoga-breathing-exercises,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/pregnancy-yoga-breathing-exercises,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/foods-to-avoid-during-pregnancy-india,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/foods-to-avoid-during-pregnancy-india,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/blog/how-to-create-a-positive-pregnancy-environment-at-home,BlogPost.jsx,200,https://www.thedivinegarbhsanskar.com/blog/how-to-create-a-positive-pregnancy-environment-at-home,Article,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Sanitize meta text and index,Completed
https://www.thedivinegarbhsanskar.com/contact,Contact.jsx,200,https://www.thedivinegarbhsanskar.com/contact,Contact,Public,Indexable,Yes,Yes,High,Dr. Taruna Jiyani,Editorial Board,Yes,Yes,Low,Low,Keep and index,Completed
https://www.thedivinegarbhsanskar.com/card,Card.jsx,200,https://www.thedivinegarbhsanskar.com/card,Utility VCard,Public,Indexable,No,No,N/A,Dr. Taruna Jiyani,N/A,No,No,Low,Low,Not eligible for ads,Completed
https://www.thedivinegarbhsanskar.com/privacy-policy,PrivacyPolicy.jsx,200,https://www.thedivinegarbhsanskar.com/privacy-policy,Legal,Public,Indexable,Yes,Yes,High,Publisher,Legal Team,Yes,Yes,Low,Low,Create and index,Completed
